kappa,g_1,delta_r1,min_snr,snr_200ns,meets_spec,Omega_q1_mag,phi_q1,Omega_q2_mag,phi_q2
2.0,0.1,1.0,1.0129079944092564e-05,8.04005531066863e-23,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.15000000000000002,0.1,0.0019917985802039104,1.5810094145708072e-20,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.15000000000000002,0.2,0.0005493347821863777,4.3603980393386654e-21,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.15000000000000002,0.30000000000000004,0.00024912253129664053,1.9774342208908356e-21,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.15000000000000002,0.4,0.00014114734328029717,1.1203707080911859e-21,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.15000000000000002,0.5,9.063954283830195e-05,7.194601501577474e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.15000000000000002,0.6,6.30600786555841e-05,5.005454820027406e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.15000000000000002,0.7,4.638142293102331e-05,3.681570367804513e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.15000000000000002,0.8,3.553646557905384e-05,2.8207413741254785e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.15000000000000002,0.9,2.809213338379447e-05,2.229840295930477e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.15000000000000002,1.0,2.276271294189294e-05,1.8068123865527215e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.2,0.1,0.002866648122563704,2.275429712160434e-20,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.2,0.2,0.0009083968188623393,7.210487732351437e-21,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.2,0.30000000000000004,0.00042789397978967923,3.396449908184975e-21,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.2,0.4,0.0002459961429777912,1.9526182108041183e-21,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.2,0.5,0.00015907900033954562,1.2627049727668067e-21,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.2,0.6,0.00011110425765729426,8.819008061402476e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.2,0.7,8.191138462821828e-05,6.501795490008119e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.2,0.8,6.285549913455673e-05,4.989216122400684e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.2,0.9,4.974097219598316e-05,3.9482378445968804e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.2,1.0,4.0335173901496636e-05,3.2016434950008053e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.25,0.1,1.3746319121015107,1.0911273942064294e-17,False,2.0,0.24116255148936602,1.9999999999132638,1.3296337872418205
2.0,0.25,0.2,0.0012496160728360656,9.918948609505292e-21,False,0.1,0.0,0.1,1.5707963267948966
